freq,unit,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KGOE,AL	123 	122 	199 	125 	181 	172 	151 	142 	151 	166 	168 	172 	176 	200 	193 	185 	173 	171 	178 	177 	190 	195 	: 
A,KGOE,AT	792 	832 	796 	808 	787 	800 	788 	755 	768 	777 	844 	781 	792 	815 	730 	767 	792 	791 	739 	753 	781 	871 	735 
A,KGOE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	256 	303 	324 	298 	492 p	: 	: 	: 	: 
A,KGOE,BE	926 	962 	904 	951 	882 	873 	827 	760 	853 	803 	883 	727 b	765 b	818 	666 	731 	731 	717 	707 	686 	683 	742 	625 p
A,KGOE,BG	257 	247 	270 	287 	270 	273 	284 	273 	282 	284 	303 	323 	322 	308 	300 	306 	316 	328 	317 	310 	344 	349 	331 b
A,KGOE,CY	253 	249 	272 	291 	277 	429 	437 	443 	427 	441 	405 	417 	405 	354 	343 	382 	392 	398 	385 	408 	408 	394 	395 p
A,KGOE,CZ	628 	686 	659 	680 	670 	653 	663 	623 	627 	637 	710 	654 	677 	691 	623 	642 	671 	680 	663 	652 	668 	749 b	671 b
A,KGOE,DE	795 	848 	815 	809 	785 	772 	785 	677 	763 	726 	781 	698 b	736 	775 	662 	673 	692 	687 	673 	695 	697 	693 	684 
A,KGOE,DK	790 	834 	811 	829 	825 	833 	830 	827 	819 	817 	902 	807 	795 	799 	735 	782 	801 	781 	769 	755 	733 	772 	682 
A,KGOE,EE	663 	682 	664 	674 	677 	656 	654 	717 	712 	727 	771 	705 	734 	708 	676 	652 b	707 	714 	712 	717 	711 	725 	715 
A,KGOE,EL	422 	440 	457 	511 	500 	507 	506 	491 	476 	440 	420 	498 	461 	348 	353 	412 	403 	409 	364 	382 	400 	405 	414 ep
A,KGOE,ES	297 	310 	314 	331 	343 	348 	352 	346 	338 	344 	364 	334 	332 	319 	318 	329 	308 	309 	324 	306 	307 	311 	299 bp
A,KGOE,EU27_2020	579 b	610 b	596 	614 	607 	612 	608 	569 	601 b	596 	634 b	574 b	598 b	604 	531 b	554 b	566 	567 b	561 e	556 bep	556 ep	582 bep	542 bep
A,KGOE,FI	868 	941 	956 	982 	963 	957 	973 	969 	939 	983 	1084 	945 	1008 	951 	939 	904 	972 	1046 	1032 	1020 	956 	1076 	1016 
A,KGOE,FR	668 	694 	662 	682 	704 	683 	668 	633 	688 	682 	701 	611 	669 	700 	572 b	605 	632 	620 	600 	595 p	580 p	623 p	548 p
A,KGOE,HR	514 e	574 b	577 	629 	627 	655 	616 	587 	601 	614 	645 	617 	600 	586 	526 	577 	577 	579 	562 	550 	563 	618 	593 
A,KGOE,HU	549 	590 	592 	652 	603 	691 	667 	608 	599 	630 	665 	659 	643 b	628 	556 	607 	627 	643 	595 	581 	613 	656 	603 bp
A,KGOE,IE	713 	747 	733 	758 	772 	794 	777 	744 	797 	767 	797 	697 	660 	640 	574 	605 	619 	595 	626 e	602 e	648 	617 	534 
A,KGOE,IS	1105 	1099 	1118 	1102 	1124 	1129 	1132 	1155 	1181 	1178 	1187 	1162 	1249 	1233 	1175 	1186 	1262 	1230 	1433 	1259 	1316 	1344 	: 
A,KGOE,IT	485 	507 	504 	551 	545 	585 	558 	553 	571 	576 	597 	545 	577 	568 	486 	535 	531 	543 	528 	521 b	516 	531 	509 p
A,KGOE,LT	390 	408 	418 	429 	438 	453 	480 	465 	485 	496 	514 	506 	514 	496 	478 	468 	500 	515 	540 	518 	513 	582 	550 
A,KGOE,LU	1072 	1141 	1084 	1110 	1164 	1130 	1092 	1046 	1047 	1041 	1011 	921 	923 b	917 	841 	894 	902 	898 b	823 	747 	790 	750 	701 
A,KGOE,LV	560 	617 	619 	655 	651 	672 	667 	662 	667 	717 	662 	644 	677 	630 	621 	559 	584 	616 	639 	621 	587 	638 	592 
A,KGOE,ME	: 	: 	: 	: 	: 	397 	403 	399 	407 	431 	443 b	434 	453 	433 	412 	427 	425 	423 	399 	392 	391 	416 	: 
A,KGOE,MK	237 	217 	221 	244 	241 	265 	268 	261 	259 	268 	262 	275 	271 	251 	253 	257 	237 	255 	233 	237 	245 	271 	: 
A,KGOE,MT	196 	191 	204 	223 	221 	179 	180 	174 	173 	156 	167 	165 	172 	174 	170 	179 	170 	195 	192 	201 	206 	211 	215 b
A,KGOE,NL	680 	711 	689 	703 	678 	658 	663 	609 	670 	667 	751 	616 	649 	679 	541 	561 	575 	558 	553 	537 	521 	574 	484 
A,KGOE,NO	852 	883 	877 	835 	829 	856 	844 	848 	845 	876 	969 	865 	904 	884 	822 	846 	864 	869 	868 	848 	849 	891 	813 
A,KGOE,PL	450 b	492 	489 	492 	493 	510 	537 	508 	516 	524 	578 b	529 	547 	539 	501 	501 	524 	528 	594 e	553 e	557 ep	587 ep	564 b
A,KGOE,PT	274 	277 	288 	299 	306 	306 	305 	305 	295 	303 	281 	263 	256 	252 	267 	266 	273 	272 	280 	281 	293 	292 bp	285 bp
A,KGOE,RO	375 	329 	333 	363 	372 	375 	371 	360 	393 	394 	400 	390 	402 	386 	372 	372 	376 	395 	399 	400 e	416 e	458 e	414 ep
A,KGOE,RS	416 	421 	428 	435 	418 	416 	381 	438 	394 	416 	422 	433 b	434 	397 	386 	398 	414 	406 	406 	411 	506 	520 	: 
A,KGOE,SE	823 	845 	822 	824 	795 	846 	806 	771 	754 	778 	883 	813 	846 	801 	746 	756 	772 	765 	736 	716 	694 	756 	674 
A,KGOE,SI	625 	667 	646 	705 	692 	714 	665 	645 	670 b	647 	666 	635 	610 	602 	514 	565 	575 	560 	523 	506 	518 	550 	495 
A,KGOE,SK	480 	573 	558 	528 	496 	473 	430 	387 	396 	399 	562 	517 	522 	525 	429 	474 	495 	505 	467 	484 	503 	545 	495 
A,KGOE,TR	265 	250 	250 	259 	264 	280 	281 	288 	285 	262 	265 	280 	269 	260 	248 	258 	261 	276 	253 be	261 be	276 	314 	: 
A,KGOE,UK	732 	750 	733 	750 	761 	733 	709 	679 	688 	664 	725 	597 	643 	646 	554 	572 	579 	557 	576 	571 	: 	: 	: 
A,KGOE,XK	: 	: 	: 	159 	161 	167 	167 	158 	213 	208 	231 b	275 b	264 e	272 e	265 e	266 e	309 e	319 e	319 	328 	340 e	: 	: 
