freq,siec,plant_tec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,R5210P,CAP_PRD,THS_TY,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	160.000 	160.000 	160.000 	191.000 	191.000 	191.000 	191.000 	191.000 	210.000 	210.000 	220.500 	220.500 	220.500 	220.500 	220.500 	220.500 	220.500 
A,R5210P,CAP_PRD,THS_TY,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	369.000 	369.000 	369.000 	369.000 	369.000 	369.000 	369.000 	408.000 	408.000 	408.000 	408.000 	408.000 	408.000 	408.000 	408.000 
A,R5210P,CAP_PRD,THS_TY,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	30.000 	0.000 	0.000 	0.000 	0.000 	21.900 	24.000 	26.000 	27.000 	27.000 	27.000 	27.000 	27.000 	27.000 	30.000 
A,R5210P,CAP_PRD,THS_TY,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	1.790 	26.509 	160.000 	160.000 	160.000 	160.000 	160.000 	160.000 	160.000 	160.000 	160.000 	180.000 	180.000 	180.000 	180.000 	180.000 	180.000 
A,R5210P,CAP_PRD,THS_TY,DE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	5.000 	5.000 	325.000 	471.000 	470.000 	772.000 	794.000 	797.000 	679.000 	701.000 	737.000 	757.000 	769.000 	790.000 	792.000 	736.000 	736.000 	760.000 	772.000 	805.000 
A,R5210P,CAP_PRD,THS_TY,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,EA20	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	118.000 	118.000 	272.000 	496.000 	507.220 	819.533 	1437.155 	1691.105 	3199.365 	3428.356 	3436.156 	3328.795 	3351.795 	3916.795 	3438.795 	4286.795 	4447.184 	4555.784 	4631.784 	4964.848 	4980.848 	5001.848 	4769.784 
A,R5210P,CAP_PRD,THS_TY,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	292.064 	292.064 	292.064 	0.000 
A,R5210P,CAP_PRD,THS_TY,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	118.000 	118.000 	272.000 	272.000 	272.000 	272.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 	464.000 
A,R5210P,CAP_PRD,THS_TY,EU27_2020	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	118.000 	118.000 	272.000 	496.000 	507.220 	866.776 	1488.619 	2018.000 	3815.840 	4257.037 	4287.762 	4185.008 	4495.140 	5072.840 	4567.181 	5755.096 	5991.809 	6137.084 	6292.420 	6626.428 	6660.428 	6729.428 	6674.364 
A,R5210P,CAP_PRD,THS_TY,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.800 	3.200 	5.000 	11.000 	15.000 	30.000 	30.000 	40.000 	40.000 	50.000 	50.000 	50.000 	50.000 	50.000 	50.000 
A,R5210P,CAP_PRD,THS_TY,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	219.000 	211.000 	203.313 	301.535 	555.485 	941.795 	1091.795 	1091.795 	1091.795 	1091.795 	1091.795 	1091.795 	1091.795 	1614.684 	1654.684 	1654.684 	1654.684 	1654.684 	1654.684 	1654.684 
A,R5210P,CAP_PRD,THS_TY,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	50.000 	140.000 	140.000 	140.000 	298.000 	300.000 	334.000 	494.000 	499.500 	503.700 	538.000 	539.000 	536.000 	549.000 	772.000 
A,R5210P,CAP_PRD,THS_TY,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	9.600 	9.600 	9.600 	9.600 	9.600 	9.600 
A,R5210P,CAP_PRD,THS_TY,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,R5210P,CAP_PRD,THS_TY,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 	332.000 
A,R5210P,CAP_PRD,THS_TY,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	8.000 	8.000 	16.000 	17.000 	40.000 	60.000 	60.000 	60.000 	60.000 	60.000 	60.000 	20.000 	20.000 	20.000 	20.000 	20.000 	40.000 	40.000 	40.000 
A,R5210P,CAP_PRD,THS_TY,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	13.400 	13.400 	13.400 	28.361 	28.361 	25.000 	25.000 	19.000 	19.000 	19.000 	19.000 	19.000 	19.000 	19.000 	19.000 	19.000 	19.000 
A,R5210P,CAP_PRD,THS_TY,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	11.220 	11.220 	11.220 	11.220 	11.220 	0.000 	0.000 	0.000 	0.000 	503.000 	0.000 	821.000 	421.000 	468.000 	592.000 	617.000 	589.000 	598.000 	625.000 
A,R5210P,CAP_PRD,THS_TY,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	249.200 	321.300 	394.800 	394.800 	406.000 	408.800 	397.600 	365.400 	507.500 	600.600 	600.600 	636.636 	636.580 	657.580 	692.580 	643.580 
A,R5210P,CAP_PRD,THS_TY,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	89.000 	89.000 	89.000 	80.000 	80.000 	80.000 	80.000 	80.000 	80.000 	80.000 	80.000 
A,R5210P,CAP_PRD,THS_TY,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	47.243 	49.674 	51.186 	55.175 	133.881 	156.806 	150.213 	187.545 	187.545 	155.986 	200.801 	177.525 	190.000 	199.000 	199.000 	199.000 	199.000 	199.000 
A,R5210P,CAP_PRD,THS_TY,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	95.150 	95.000 	98.000 	106.000 	103.000 	120.000 	106.000 	112.000 	118.000 	118.000 	126.000 	142.000 	142.000 	142.000 	142.000 
A,R5210P,CAP_PRD,THS_TY,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5210P,CAP_PRD,THS_TY,UA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	70.000 	70.000 	0.000 	: 	: 
A,R5210P,CAP_PRD,THS_TY,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	55.301 	55.580 	59.550 	374.768 	374.768 	710.630 	718.572 	718.572 	714.602 	722.542 	722.542 	718.572 	718.572 	: 	: 	: 
A,R5210P,CAP_PRD,THS_TY,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	200.000 	200.000 
A,R5220P,CAP_PRD,THS_TY,AT	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	28.000 	110.000 	110.000 	190.000 	340.000 	560.000 	655.000 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 	645.500 
A,R5220P,CAP_PRD,THS_TY,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	665.000 	665.000 	665.000 	665.000 	665.000 	665.000 	665.000 	450.000 	450.000 	450.000 	450.000 	450.000 	450.000 	450.000 	450.000 
A,R5220P,CAP_PRD,THS_TY,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	198.000 	191.760 	192.600 	93.738 	63.738 	63.738 	163.738 	160.000 	160.000 	160.000 	160.000 	180.000 	180.000 	260.000 	268.000 
A,R5220P,CAP_PRD,THS_TY,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	7.040 	14.080 	14.080 	14.080 	14.080 	14.080 	14.080 	14.080 	14.080 	5.000 	5.000 	5.000 	5.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,CZ	0.000 	0.000 	3.500 	6.550 	33.500 	58.000 	62.500 	62.500 	62.500 	67.500 	111.550 	111.550 	114.430 	198.075 	202.000 	194.500 	194.500 	346.000 	333.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 	420.000 
A,R5220P,CAP_PRD,THS_TY,DE	0.000 	2.000 	5.000 	7.000 	38.000 	47.000 	75.000 	122.000 	136.000 	176.000 	339.000 	491.000 	576.000 	995.000 	1084.000 	1772.000 	2676.000 	4098.000 	4039.000 	4050.000 	4694.000 	4494.000 	4296.000 	4308.000 	4161.000 	4212.000 	4125.000 	4153.000 	4279.000 	4171.000 	3793.000 	4120.000 	4151.000 
A,R5220P,CAP_PRD,THS_TY,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,EA20	28.000 	30.000 	33.000 	35.000 	66.000 	75.000 	103.000 	150.000 	164.000 	204.000 	367.000 	581.649 	696.000 	1548.750 	1828.000 	2970.562 	4619.546 	10067.325 	13926.677 	17618.892 	19128.659 	19586.306 	18812.165 	19523.892 	19503.299 	19487.119 	18612.246 	18856.051 	19030.651 	19003.651 	18764.050 	19365.650 	18178.802 
A,R5220P,CAP_PRD,THS_TY,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,R5220P,CAP_PRD,THS_TY,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	395.000 	575.000 	575.000 	575.000 	900.000 	746.808 	746.808 	980.535 	973.104 	993.924 	993.924 	1045.449 	1045.449 	1045.449 	1135.448 	1135.448 	0.000 
