Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030
1. Energy,WAM,ESR,56003.43806,54790.82091,53578.20375,52365.5866,51152.96944,48433.51926,45714.06908,42994.6189,40275.16872,37555.71853,36539.9231131274,35524.1263458593,34508.3295785912,33492.532811323,32476.7360440549,31598.4622550015,30720.1884659482,29841.9146768948,28963.6408878415,28085.3670987881,27207.0933097348,26328.8195206815,25450.5457316282,24572.2719425749,23693.9981535213,22815.724364468,21937.4505754146,21059.1767863614,20180.9029973081,19302.6292082547,56003.438063269,51152.9694409565,37555.7185335121
1. Energy,WAM,ETS,26092.38827,26520.67818,26948.96808,27377.25798,27805.54789,27507.04592,27208.54396,26910.042,26611.54004,26313.03808,26305.2807772492,26297.5212831055,26289.7617889619,26282.0022948182,26274.2428006746,26242.9344534705,26211.6261062663,26180.3177590622,26149.009411858,26117.7010646539,26086.3927174498,26055.0843702456,26023.7760230415,25992.4676758374,25961.1593286332,25929.8509814291,25898.5426342249,25867.2342870208,25835.9259398167,25804.6175926125,26092.3882730433,27805.5478856961,26313.0380819212
1. Energy,WAM,Total,82104.17099,81318.79153,80533.41208,79748.03262,78962.65316,75944.70101,72926.74887,69908.79673,66890.84459,63872.89245,62853.2130868463,61833.5313136926,60813.8495405389,59794.1677673853,58774.4859942316,57867.9899901938,56961.493986156,56054.9979821182,55148.5019780804,54242.0059740427,53335.5099700049,52429.0139659673,51522.5179619295,50616.0219578918,49709.5259538537,48803.0299498161,47896.5339457782,46990.0379417405,46083.5419377029,45177.0459336651,82104.1709937598,78962.6531566525,63872.8924454334
1. Energy,WEM,ESR,56003.43806,55885.13494,55766.83182,55648.5287,55530.22558,54949.95883,54369.69208,53789.42534,53209.15859,52628.89184,52458.4305065811,52334.5149837118,52163.8341268098,51993.1532614137,51822.4723978114,51617.9592061291,51413.445995428,51208.9327953379,51004.4195936059,50799.9063959391,50595.3931955622,50390.8799958629,50186.3667961635,49981.8535964641,49777.3403967647,49572.8271970653,49368.3139973659,49163.8007976666,48959.2875979672,48754.7743982678,56003.438063269,55530.2255840037,52628.8918361868
1. Energy,WEM,ETS,26092.38827,26715.07917,27337.77008,27960.46098,28583.15188,28317.58919,28052.02651,27786.46382,27520.90114,27255.33845,27415.7185285136,27576.4118014252,27736.7923849173,27897.1729700346,28057.5535551207,27998.7839105121,27940.0142606262,27881.2446159614,27822.4749713287,27763.7053335122,27704.9356911516,27646.166049927,27587.3964087024,27528.6267674778,27469.8571262532,27411.0874850287,27352.3178438041,27293.5482025795,27234.7785613549,27176.0089201303,26092.3882730433,28583.1518776571,27255.3384496152
1. Energy,WEM,Total,82104.17099,82607.50657,83110.84214,83614.17772,84117.51329,83271.68386,82425.85442,81580.02499,80734.19555,79888.36612,79878.9914613619,79916.1656504825,79906.5745039453,79896.9833505392,79887.3921989507,79624.8143213982,79362.2364196049,79099.6585336446,78837.0806460155,78574.5027693258,78311.9248853432,78049.3470031838,77786.7691210244,77524.191238865,77261.6133567056,76999.0354745462,76736.4575923868,76473.8797102274,76211.301828068,75948.7239459086,82104.1709937598,84117.5132916608,79888.366115802
1.A.1. Energy industries,WAM,ESR,2318.57621,2250.28418,2181.99215,2113.70013,2045.4081,1938.5741,1831.74011,1724.90612,1618.07212,1511.23813,1511.77104597815,1512.30394818534,1512.83685039252,1513.36975259971,1513.90265480689,1513.00548074933,1512.10830669178,1511.21113263422,1510.31395857667,1509.41678451911,1508.51961046156,1507.622436404,1506.72526234645,1505.82808828889,1504.93091423134,1504.03374017378,1503.13656611623,1502.23939205867,1501.34221800112,1500.44504394356,2318.57620505832,2045.40809898734,1511.23812887009
1.A.1. Energy industries,WAM,ETS,15872.62128,16174.60101,16476.58074,16778.56048,17080.54021,16820.18015,16559.82009,16299.46003,16039.09997,15778.73991,15784.3056343846,15789.8696325401,15795.4336306957,15800.9976288512,15806.5616270068,15797.1942895588,15787.8269521109,15778.459614663,15769.092277215,15759.7249397671,15750.3576023192,15740.9902648713,15731.6229274233,15722.2555899754,15712.8882525275,15703.5209150795,15694.1535776316,15684.7862401837,15675.4189027357,15666.0515652878,15872.6212763284,17080.5402106075,15778.739913191
1.A.1. Energy industries,WAM,Total,18191.19748,18424.88519,18658.5729,18892.2606,19125.94831,18758.75426,18391.5602,18024.36615,17657.1721,17289.97804,17296.0766803627,17302.1735807255,17308.2704810882,17314.3673814509,17320.4642818137,17310.1997703082,17299.9352588027,17289.6707472972,17279.4062357917,17269.1417242862,17258.8772127807,17248.6127012753,17238.3481897698,17228.0836782643,17217.8191667588,17207.5546552533,17197.2901437478,17187.0256322423,17176.7611207368,17166.4966092314,18191.1974813867,19125.9483095948,17289.9780420611
1.A.1. Energy industries,WEM,ESR,2318.57621,2267.70249,2216.82878,2165.95507,2115.08136,2126.66545,2138.24954,2149.83364,2161.41773,2173.00182,2191.08722397206,2209.17274862866,2227.25827400115,2245.34379865774,2263.42932331434,2252.69025551353,2241.95118699682,2231.212119196,2220.47305139519,2209.73398359438,2198.99491579357,2188.25584799276,2177.51678019196,2166.77771239114,2156.03864459033,2145.29957678952,2134.56050898871,2123.8214411879,2113.08237338709,2102.34330558628,2318.57620505832,2115.08136252638,2173.00181666929
1.A.1. Energy industries,WEM,ETS,15872.62128,16175.4243,16478.22733,16781.03036,17083.83338,16822.66175,16561.49011,16300.31848,16039.14684,15777.97521,15909.2915741568,16040.6089776292,16171.9263862996,16303.2437897719,16434.5611932442,16356.5857667032,16278.6103349641,16200.6349084231,16122.6594818821,16044.6840553411,15966.7086288001,15888.7332022591,15810.7577757182,15732.7823491772,15654.8069226362,15576.8314960952,15498.8560695542,15420.8806430132,15342.9052164722,15264.9297899312,15872.6212763284,17083.8333843749,15777.9752068347
1.A.1. Energy industries,WEM,Total,18191.19748,18443.1268,18695.05611,18946.98543,19198.91475,18949.3272,18699.73966,18450.15211,18200.56457,17950.97702,18100.3788182954,18249.7817465907,18399.1846808001,18548.5876090954,18697.9905373908,18609.2760429501,18520.5615425955,18431.8470481549,18343.1325537142,18254.4180592736,18165.703564833,18076.9890703923,17988.2745759517,17899.560081511,17810.8455870704,17722.1310926297,17633.4165981891,17544.7021037484,17455.9876093078,17367.2731148672,18191.1974813867,19198.9147469013,17950.9770235039
1.A.2. Manufacturing industries and construction,WAM,ESR,4031.68584,3865.29353,3698.90121,3532.50889,3366.11658,3242.92964,3119.74271,2996.55577,2873.36883,2750.1819,2748.18527924345,2746.18853327047,2744.19178729749,2742.19504132452,2740.19829535154,2735.61517507227,2731.032054793,2726.44893451372,2721.86581423445,2717.28269395518,2712.6995736759,2708.11645339663,2703.53333311736,2698.95021283808,2694.36709255881,2689.78397227954,2685.20085200026,2680.61773172099,2676.03461144171,2671.45149116244,4031.68584086323,3366.1165776923,2750.18189680201
1.A.2. Manufacturing industries and construction,WAM,ETS,9963.28478,10072.20116,10181.11755,10290.03393,10398.95031,10360.80841,10322.66651,10284.52461,10246.38271,10208.24081,10200.8296691263,10193.4180634691,10186.0064578118,10178.5948521545,10171.1832464973,10154.1714279437,10137.1596093902,10120.1477908367,10103.1359722831,10086.1241537296,10069.1123351761,10052.1005166225,10035.088698069,10018.0768795155,10001.0650609619,9984.05324240839,9967.04142385485,9950.02960530131,9933.01778674778,9916.00596819424,9963.28477954645,10398.9503115038,10208.2408051454
1.A.2. Manufacturing industries and construction,WAM,Total,13994.97062,13937.49469,13880.01875,13822.54282,13765.06689,13603.73805,13442.40921,13281.08038,13119.75154,12958.4227,12949.014938377,12939.606586754,12930.1982351311,12920.7898835081,12911.3815318851,12889.786593069,12868.1916542528,12846.5967154367,12825.0017766205,12803.4068378044,12781.8118989883,12760.2169601721,12738.622021356,12717.0270825398,12695.4321437237,12673.8372049075,12652.2422660914,12630.6473272753,12609.0523884591,12587.457449643,13994.9706204097,13765.0668891961,12958.4227019474
1.A.2. Manufacturing industries and construction,WEM,ESR,4031.68584,3962.12932,3892.57279,3823.01627,3753.45974,3742.14852,3730.8373,3719.52607,3708.21485,3696.90363,3706.84026451146,3716.77720277823,3726.71413877498,3736.65107704175,3746.58801530853,3753.25737236418,3759.92672941983,3766.59608647548,3773.26544353114,3779.93480285681,3786.60416066914,3793.2735188598,3799.94287705047,3806.61223524113,3813.28159343179,3819.95095162246,3826.62030981312,3833.28966800379,3839.95902619445,3846.62838438512,4031.68584086323,3753.45974129638,3696.90362570492
1.A.2. Manufacturing industries and construction,WEM,ETS,9963.28478,10265.77887,10568.27295,10870.76704,11173.26113,11168.87008,11164.47903,11160.08798,11155.69693,11151.30588,11181.2786523374,11211.2523409194,11241.2260226542,11271.1997112362,11301.1733998182,11321.2907866895,11341.4081735608,11361.5255604321,11381.6429473033,11401.7603410219,11421.8777301756,11441.9951204705,11462.1125107654,11482.2299010603,11502.3472913552,11522.4646816501,11542.582071945,11562.6994622399,11582.8168525349,11602.9342428298,9963.28477954645,11173.2611296974,11151.3058791957
1.A.2. Manufacturing industries and construction,WEM,Total,13994.97062,14227.90818,14460.84575,14693.78331,14926.72087,14911.0186,14895.31632,14879.61405,14863.91178,14848.2095,14888.1189068219,14928.0295336439,14967.9401513485,15007.8507781704,15047.7614049924,15074.5481489013,15101.3348928101,15128.121636719,15154.9083806279,15181.6951336541,15208.4818806021,15235.2686290696,15262.0553775371,15288.8421260047,15315.6288744722,15342.4156229397,15369.2023714073,15395.9891198748,15422.7758683423,15449.5626168099,13994.9706204097,14926.7208709937,14848.2095049006
1.A.3. Transport,WAM,ESR,23755.17466,23653.43854,23551.70242,23449.9663,23348.23019,21959.32671,20570.42323,19181.51976,17792.61628,16403.7128,15990.0281871437,15576.3423338096,15162.6564804755,14748.9706271414,14335.2847738073,14005.7678496313,13676.2509254553,13346.7340012793,13017.2170771033,12687.7001529273,12358.1832287512,12028.6663045753,11699.1493803992,11369.6324562232,11040.1155320472,10710.5986078712,10381.0816836952,10051.5647595192,9722.04783534325,9392.53091116718,23755.1746567351,23348.2301873397,16403.7128015862
1.A.3. Transport,WAM,ETS,97.21132,111.67007,126.12882,140.58756,155.04631,155.04631,155.04631,155.04631,155.04631,155.04631,151.173790211503,147.301269112458,143.428748013412,139.556226914366,135.683705815321,132.599091192221,129.514476569122,126.429861946022,123.345247322923,120.260632699823,117.176018076724,114.091403453625,111.006788830525,107.922174207426,104.837559584326,101.752944961227,98.6683303381269,95.5837157150279,92.499101091929,89.4144864688291,97.21132255076,155.046308400253,155.046308400253
1.A.3. Transport,WAM,Total,23860.73064,23772.40106,23684.07148,23595.7419,23507.41233,22118.50885,20729.60537,19340.70189,17951.79842,16562.89494,16149.2111934475,15735.527306895,15321.8434203424,14908.1595337899,14494.4756472374,14164.9602403065,13835.4448333756,13505.9294264447,13176.4140195138,12846.8986125829,12517.383205652,12187.8677987212,11858.3523917902,11528.8369848594,11199.3215779284,10869.8061709976,10540.2907640666,10210.7753571358,9881.25995020494,9551.74454327399,23860.7306367334,23507.4123257399,16562.8949399865
1.A.3. Transport,WEM,ESR,23755.17466,24142.87616,24530.57767,24918.27917,25305.98067,24850.66914,24395.35761,23940.04607,23484.73454,23029.42301,22928.1670951485,22873.4600475805,22771.9876574858,22670.515267391,22569.0428690417,22468.2811755222,22367.5194737482,22266.757771821,22165.9960783002,22065.2343765262,21964.4726802543,21863.710982607,21762.9492849596,21662.1875873122,21561.4258896648,21460.6641920174,21359.90249437,21259.1407967226,21158.3790990752,21057.6174014278,23755.1746567351,25305.9806737057,23029.4230064336
1.A.3. Transport,WEM,ETS,97.21132,111.67007,126.12882,140.58756,155.04631,155.04631,155.04631,155.04631,155.04631,155.04631,154.369480120769,154.003897905534,153.325627895976,152.647357886418,151.969087821667,151.295573684541,150.622059492223,149.94854529888,149.275031161725,148.601516969407,147.928002813865,147.254488649128,146.580974484392,145.907460319656,145.233946154919,144.560431990183,143.886917825446,143.21340366071,142.539889495974,141.866375331237,97.21132255076,155.046308400253,155.046308400253
1.A.3. Transport,WEM,Total,23860.73064,24261.83868,24662.94672,25064.05477,25465.16281,25009.85128,24554.53975,24099.22821,23643.91668,23188.60514,23087.3789913968,23032.7028005524,22931.2612671811,22829.8197338099,22728.3781921841,22627.6479433829,22526.9176863271,22426.187429118,22325.4571803124,22224.7269232566,22123.996671701,22023.2664187703,21922.5361658396,21821.8059129089,21721.0756599782,21620.3454070476,21519.6151541169,21418.8849011862,21318.1546482555,21217.4243953248,23860.7306367334,25465.162812106,23188.6051448338
1.A.3.a. Domestic aviation,WAM,ESR,2.01225,1.97773,1.94321,1.9087,1.87418,1.87418,1.87418,1.87418,1.87418,1.87418,1.87470485402797,1.87559768288461,1.87649051174124,1.87738334059788,1.87827616945451,1.87896469324269,1.87965321703087,1.88034174081904,1.88103026460722,1.88171878839539,1.88240731218357,1.88309583597175,1.88378435975992,1.8844728835481,1.88516140733628,1.88584993112445,1.88653845491263,1.8872269787008,1.88791550248898,1.88860402627716,2.01224750486689,1.87418145750718,1.87418145750718
1.A.3.a. Domestic aviation,WAM,ETS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.A.3.a. Domestic aviation,WAM,Total,10.3569,9.27018,8.18346,7.09673,6.01001,6.01001,6.01001,6.01001,6.01001,6.01001,6.01169307097326,6.01455614194652,6.01741921291978,6.02028228389304,6.0231453548663,6.02535327238339,6.02756118990048,6.02976910741757,6.03197702493465,6.03418494245174,6.03639285996883,6.03860077748592,6.04080869500301,6.0430166125201,6.04522453003718,6.04743244755427,6.04964036507136,6.05184828258845,6.05405620010554,6.05626411762263,10.3569049523895,6.01001145750718,6.01001145750718
1.A.3.a. Domestic aviation,WEM,ESR,2.01225,1.97773,1.94321,1.9087,1.87418,1.87418,1.87418,1.87418,1.87418,1.87418,1.87470485521519,1.87559768391875,1.87649051262231,1.87738334132587,1.87827617002943,1.8789646940279,1.87965321802638,1.88034174202485,1.88103026468303,1.88171878868151,1.88240731178645,1.88309583511478,1.88378435844311,1.88447288177143,1.88516140509976,1.88584992842809,1.88653845175642,1.88722697508475,1.88791549841307,1.8886040217414,2.01224750486689,1.87418145750718,1.87418145750718
1.A.3.a. Domestic aviation,WEM,ETS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.A.3.a. Domestic aviation,WEM,Total,10.3569,9.27018,8.18346,7.09673,6.01001,6.01001,6.01001,6.01001,6.01001,6.01001,6.01169307478036,6.01455614526275,6.01741921574513,6.02028228622752,6.02314535670991,6.02535327490137,6.02756119309283,6.02976911128428,6.03197702517777,6.03418494336923,6.03639285869537,6.03860077473785,6.04080869078032,6.04301660682279,6.04522452286526,6.04743243890774,6.04964035495021,6.05184827099268,6.05405618703516,6.05626410307763,10.3569049523895,6.01001145750718,6.01001145750718
1.A.3.b. Road transportation,WAM,ESR,22960.13152,22822.36169,22684.59187,22546.82205,22409.05223,21002.05529,19595.05835,18188.06142,16781.06448,15374.06754,14960.3400448547,14546.6115197094,14132.8829945641,13719.1544694188,13305.4259442735,12975.9083370229,12646.3907297722,12316.8731225215,11987.3555152708,11657.8379080202,11328.3203007694,10998.8026935188,10669.2850862681,10339.7674790175,10010.2498717667,9680.73226451611,9351.21465726538,9021.69705001475,8692.17944276413,8362.6618355134,22960.1315175833,22409.0522260984,15374.0675422012
1.A.3.b. Road transportation,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.b. Road transportation,WAM,Total,22960.13152,22822.36169,22684.59187,22546.82205,22409.05223,21002.05529,19595.05835,18188.06142,16781.06448,15374.06754,14960.3400448547,14546.6115197094,14132.8829945641,13719.1544694188,13305.4259442735,12975.9083370229,12646.3907297722,12316.8731225215,11987.3555152708,11657.8379080202,11328.3203007694,10998.8026935188,10669.2850862681,10339.7674790175,10010.2498717667,9680.73226451611,9351.21465726538,9021.69705001475,8692.17944276413,8362.6618355134,22960.1315175833,22409.0522260984,15374.0675422012
1.A.3.b. Road transportation,WEM,ESR,22960.13152,23317.59555,23675.05959,24032.52363,24389.98766,23920.30249,23450.61731,22980.93214,22511.24696,22041.56179,21939.778854852,21884.5437573863,21782.5433174746,21680.5428775629,21578.5424293158,21477.2775243967,21376.0126111422,21274.7476978877,21173.4827929685,21072.217879714,20970.9529720164,20869.6880629295,20768.4231538427,20667.1582447558,20565.893335669,20464.6284265821,20363.3635174953,20262.0986084085,20160.8336993216,20059.5687902348,22960.1315175833,24389.9876648493,22041.5617895754
1.A.3.b. Road transportation,WEM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.b. Road transportation,WEM,Total,22960.13152,23317.59555,23675.05959,24032.52363,24389.98766,23920.30249,23450.61731,22980.93214,22511.24696,22041.56179,21939.778854852,21884.5437573863,21782.5433174746,21680.5428775629,21578.5424293158,21477.2775243967,21376.0126111422,21274.7476978877,21173.4827929685,21072.217879714,20970.9529720164,20869.6880629295,20768.4231538427,20667.1582447558,20565.893335669,20464.6284265821,20363.3635174953,20262.0986084085,20160.8336993216,20059.5687902348,22960.1315175833,24389.9876648493,22041.5617895754
1.A.3.c. Railways,WAM,ESR,72.62443,76.26053,79.89662,83.53272,87.16881,90.8551,94.54139,98.22767,101.91396,105.60025,105.63562953,105.67031906,105.70500859,105.739698119999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,72.6244330413899,87.1688140569689,105.600246999526
1.A.3.c. Railways,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.c. Railways,WAM,Total,72.62443,76.26053,79.89662,83.53272,87.16881,90.8551,94.54139,98.22767,101.91396,105.60025,105.63562953,105.67031906,105.70500859,105.739698119999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,105.774387649999,72.6244330413899,87.1688140569689,105.600246999526
1.A.3.c. Railways,WEM,ESR,72.62443,74.46574,76.30704,78.14834,79.98964,81.85538,83.72113,85.58687,87.45261,89.31835,89.5584959126575,89.7996719061194,90.0408478187769,90.2820237314344,90.5231997248963,90.7400393089332,90.9568789737745,91.1737185578115,91.3905581418484,91.6073978066897,91.8242374176613,92.0410770421005,92.2579166665396,92.4747562909787,92.6915959154178,92.9084355398569,93.1252751642961,93.3421147887352,93.5589544131743,93.7757940376134,72.6244330413899,79.9896443254678,89.3183476006681
